time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
117.898001,868653.288000,868650.606000,289550.106000,289550.016000,72387.486000,1.543919,6.470032
117.899001,868672.674000,868670.100000,289556.604000,289556.496000,72389.106000,1.774022,7.015991
117.900001,868692.042000,868689.576000,289563.120000,289563.012000,72390.726000,1.629857,7.303162
117.901001,868711.428000,868709.052000,289569.600000,289569.492000,72392.346000,1.537694,8.222351
117.902001,868730.814000,868728.456000,289576.080000,289575.954000,72393.966000,1.519994,8.219299
117.903001,868750.182000,868747.878000,289582.524000,289582.434000,72395.568000,1.523778,8.094788
117.904001,868769.568000,868767.210000,289588.986000,289588.878000,72397.188000,1.565404,8.203430
117.905001,868788.918000,868786.524000,289595.394000,289595.304000,72398.808000,1.503514,8.091736
117.906001,868808.286000,868805.802000,289601.802000,289601.712000,72400.410000,1.600804,7.469177
117.907001,868827.636000,868825.026000,289608.210000,289608.138000,72402.030000,1.803075,6.546631
117.908001,868847.004000,868844.250000,289614.618000,289614.546000,72403.632000,1.851048,6.342468
117.909001,868866.354000,868863.474000,289621.026000,289620.954000,72405.252000,1.770238,5.388184
117.910001,868885.704000,868882.734000,289627.434000,289627.380000,72406.854000,1.930638,4.175110
117.911001,868905.072000,868902.030000,289633.860000,289633.824000,72408.474000,1.398656,4.175110
117.912001,868924.440000,868921.326000,289640.286000,289640.250000,72410.076000,2.154393,4.679565
117.913001,868943.808000,868940.712000,289646.748000,289646.694000,72411.678000,1.724705,4.216614
117.914001,868963.176000,868960.098000,289653.228000,289653.174000,72413.280000,1.931981,4.816589
117.915001,868982.544000,868979.520000,289659.708000,289659.636000,72414.900000,1.507298,6.329651
117.916001,869001.930000,868998.942000,289666.188000,289666.116000,72416.502000,2.217625,6.492615
117.917001,869021.316000,869018.400000,289672.686000,289672.596000,72418.104000,1.846043,7.172241
117.918001,869040.702000,869037.858000,289679.184000,289679.076000,72419.724000,1.796727,7.488403
117.919001,869060.088000,869057.298000,289685.664000,289685.574000,72421.326000,1.756322,7.992554
117.920001,869079.474000,869076.720000,289692.126000,289692.036000,72422.928000,1.897801,8.560791
