time,motor setpoint,motor real,propeller setpoint,propeller real
187.328160,0.000000,2.808400,0.595000,0.583100
187.329160,0.000000,2.998800,0.595000,0.571200
187.330156,0.000000,3.070200,0.595000,0.583100
187.331161,0.000000,2.879800,0.595000,0.606900
187.332159,0.000000,2.998800,0.595000,0.559300
187.333159,0.000000,3.129700,0.595000,0.606900
187.334158,0.000000,2.915500,0.595000,0.666400
187.335158,0.000000,2.903600,0.595000,0.559300
187.336158,0.000000,3.141600,0.595000,0.606900
187.337157,0.000000,3.070200,0.595000,0.571200
187.338159,0.000000,2.998800,0.595000,0.571200
187.339159,0.000000,2.975000,0.595000,0.606900
187.340167,0.000000,2.998800,0.595000,0.606900
187.341156,0.000000,2.867900,0.595000,0.595000
187.342160,0.000000,2.915500,0.595000,0.606900
187.343160,0.000000,3.046400,0.595000,0.606900
187.344158,0.000000,2.867900,0.595000,0.571200
187.345159,0.000000,2.927400,0.595000,0.595000
187.346158,0.000000,2.939300,0.595000,0.583100
187.347159,0.000000,2.784600,0.595000,0.571200
187.348158,0.000000,2.808400,0.595000,0.583100
187.349174,0.000000,2.689400,0.595000,0.606900
187.350173,0.000000,2.618000,0.595000,0.595000
187.351175,0.000000,2.701300,0.595000,0.618800
187.352175,0.000000,2.903600,0.595000,0.595000
187.353173,0.000000,2.903600,0.595000,0.595000
187.354175,0.000000,2.772700,0.595000,0.571200
187.355169,0.000000,2.796500,0.595000,0.595000
187.356173,0.000000,2.963100,0.595000,0.606900
187.357176,0.000000,2.915500,0.595000,0.618800
187.358172,0.000000,2.879800,0.595000,0.583100
187.359173,0.000000,2.998800,0.595000,0.583100
187.360173,0.000000,2.748900,0.595000,0.571200
187.361172,0.000000,2.879800,0.595000,0.618800
187.362173,0.000000,3.141600,0.595000,0.571200
187.363174,0.000000,3.141600,0.595000,0.571200
187.364171,0.000000,2.903600,0.595000,0.630700
187.365171,0.000000,2.748900,0.595000,0.583100
187.366168,0.000000,3.046400,0.595000,0.571200
187.367174,0.000000,2.832200,0.595000,0.571200
187.368174,0.000000,2.748900,0.595000,0.571200
187.369162,0.000000,2.867900,0.595000,0.583100
187.370171,0.000000,2.748900,0.595000,0.583100
187.371171,0.000000,2.879800,0.595000,0.595000
187.372172,0.000000,3.034500,0.595000,0.606900
187.373171,0.000000,2.927400,0.595000,0.571200
187.374171,0.000000,2.939300,0.595000,0.571200
187.375172,0.000000,2.951200,0.595000,0.618800
187.376172,0.000000,2.903600,0.595000,0.583100
187.377172,0.000000,2.844100,0.595000,0.618800
187.378170,0.000000,2.927400,0.595000,0.606900
